Protein,Encoding,Model,Acquisition,Timestep,Mean,Std
GB1,AA,Boosting Ensemble,GREEDY,75,0.25883043,0.019214999
GB1,AA,Boosting Ensemble,GREEDY,76,0.26139474,0.018936172
GB1,AA,Boosting Ensemble,GREEDY,77,0.26680982,0.018881332
GB1,AA,Boosting Ensemble,GREEDY,78,0.26680982,0.018881332
GB1,AA,Boosting Ensemble,GREEDY,79,0.26680982,0.018881332
GB1,AA,Boosting Ensemble,GREEDY,80,0.26680982,0.018881332
GB1,AA,Boosting Ensemble,GREEDY,81,0.26680982,0.018881332
GB1,AA,Boosting Ensemble,GREEDY,82,0.26917785,0.018861499
GB1,AA,Boosting Ensemble,GREEDY,83,0.26917785,0.018861499
GB1,AA,Boosting Ensemble,GREEDY,84,0.26917785,0.018861499
GB1,AA,Boosting Ensemble,GREEDY,85,0.27427346,0.018551132
GB1,AA,Boosting Ensemble,GREEDY,86,0.27427346,0.018551132
GB1,AA,Boosting Ensemble,GREEDY,87,0.2753532,0.018572716
GB1,AA,Boosting Ensemble,GREEDY,88,0.28511733,0.018333029
GB1,AA,Boosting Ensemble,GREEDY,89,0.28884006,0.018406892
GB1,AA,Boosting Ensemble,GREEDY,90,0.2914943,0.01803098
GB1,AA,Boosting Ensemble,GREEDY,91,0.2914943,0.01803098
GB1,AA,Boosting Ensemble,GREEDY,92,0.29158664,0.018032128
GB1,AA,Boosting Ensemble,GREEDY,93,0.29624307,0.01766287
GB1,AA,Boosting Ensemble,GREEDY,94,0.29698217,0.01756085
GB1,AA,Boosting Ensemble,GREEDY,95,0.29745144,0.017492352
GB1,AA,Boosting Ensemble,GREEDY,96,0.29745144,0.017492352
GB1,AA,Boosting Ensemble,GREEDY,97,0.3506099,0.017490858
GB1,AA,Boosting Ensemble,GREEDY,98,0.38607293,0.017763855
GB1,AA,Boosting Ensemble,GREEDY,99,0.4001639,0.018228896
GB1,AA,Boosting Ensemble,GREEDY,100,0.42072147,0.019396922
